field_collection_start_date,access_id,location_id,ShortName,ADD
40614,768,TFW004S8D_RAIN,TFW40614,0
40937,2602,SEAOUTFALL_6057,SEA40937,2
40224,3123,SEAR1S8D_OUT,SEA40224,0
40202,2319,SEAI1S8D_OUT,SEA40202,3
40932,2519,SEAR1S8D_OUT,SEA40932,1
40937,2741,SEAOUTFALL_6057,SEA40937,2
40563,2214,SEAI1S8D_OUT,SEA40563,1
40219,2883,SEAOUTFALL_6057,SEA40219,1
40937,2714,SEAR1S8D_OUT,SEA40937,2
40555,2019,SEAOUTFALL_6057,SEA40555,1
40202,2325,SEAI1S8D_OUT,SEA40202,3
40202,2412,SEAOUTFALL_6057,SEA40202,3
40586,3101,SEAI1S8D_OUT,SEA40586,4
40132,1418,TFW004S8D_RAIN,TFW40132,0
40219,2927,SEAOUTFALL_6057,SEA40219,1
40549,9,SEAR1S8D_OUT,SEA40549,0
40564,2245,SEAR1S8D_OUT,SEA40564,2
40563,2128,SEAR1S8D_OUT,SEA40563,1
40623,803,SNO_COM,SNO40623,1
40188,1913,SEAOUTFALL_6057,SEA40188,0
40932,2459,SEAC1S8D_OUT,SEA40932,1
40858,383,SEAI1S8D_OUT,SEA40858,1
40563,2157,SEAR1S8D_OUT,SEA40563,1
40858,1409,SNO_HDR,SNO40858,2
40219,2918,SEAOUTFALL_6057,SEA40219,1
40202,2265,SEAC1S8D_OUT,SEA40202,3
40967,709,SNO_HDR,SNO40967,0
40219,2802,SEAR1S8D_OUT,SEA40219,1
40626,135,SEAI1S8D_OUT,SEA40626,1
40811,1201,SNO_COM,SNO40811,2
40912,1641,SEAC1S8D_OUT,SEA40912,0
40563,2191,SEAI1S8D_OUT,SEA40563,1
40188,1890,SEAOUTFALL_6057,SEA40188,0
40826,1247,TFW003S8D_OF245,TFW40826,0
41082,1104,SNO_HDR,SNO41082,2
40555,25,SEAR1S8D_OUT,SEA40555,1
40586,2949,SEAR1S8D_OUT,SEA40586,4
40586,638,GM34921,GM340586,#N/A
40563,2155,SEAR1S8D_OUT,SEA40563,1
40202,2281,SEAC1S8D_OUT,SEA40202,3
41065,1061,TFW004S8D_RAIN,TFW41065,2
40932,2534,SEAR1S8D_OUT,SEA40932,1
40219,2903,SEAOUTFALL_6057,SEA40219,1
40912,1,SEAC1S8D_OUT,SEA40912,0
40479,1306,MH5171,MH540479,#N/A
40563,2222,SEAI1S8D_OUT,SEA40563,1
40688,948,TFWFD1,TFW40688,3
40337,1068,TFW004S8D_RAIN,TFW40337,0
40849,349,SEAC1S8D_OUT,SEA40849,1
40932,2525,SEAR1S8D_OUT,SEA40932,1
40161,1558,SNO_HDR,SNO40161,8
40868,1468,GM34921,GM340868,#N/A
40219,2775,SEAR1S8D_OUT,SEA40219,1
40910,448,SNO_HDR,SNO40910,1
40937,2630,SEAI1S8D_OUT,SEA40937,2
40912,1680,SEAI1S8D_OUT,SEA40912,0
40555,2073,SEAR1S8D_OUT,SEA40555,1
40586,2984,SEAR1S8D_OUT,SEA40586,4
40219,2767,SEAR1S8D_OUT,SEA40219,1
40202,2324,SEAI1S8D_OUT,SEA40202,3
40232,94,SEAC1S8D_OUT,SEA40232,4
40555,1946,SEAI1S8D_OUT,SEA40555,1
40219,2849,SEAC1S8D_OUT,SEA40219,1
40555,2046,SEAOUTFALL_6057,SEA40555,1
41018,177,SEAOUTFALL_6057,SEA41018,0
40937,2645,SEAI1S8D_OUT,SEA40937,2
40219,2881,SEAOUTFALL_6057,SEA40219,1
40803,271,SEAC1S8D_OUT,SEA40803,24
40202,2286,SEAC1S8D_OUT,SEA40202,3
40202,2320,SEAI1S8D_OUT,SEA40202,3
41330,683,SEA19US8D_RAIN,SEA41330,2
40035,237,SEAOUTFALL_6057,SEA40035,14
40858,1401,SNO_LDR,SNO40858,2
40219,2839,SEAC1S8D_OUT,SEA40219,1
40912,1667,SEAI1S8D_OUT,SEA40912,0
40555,1949,SEAI1S8D_OUT,SEA40555,1
40555,1988,SEAI1S8D_OUT,SEA40555,1
40932,2444,SEAC1S8D_OUT,SEA40932,1
40912,1605,SEAC1S8D_OUT,SEA40912,0
40586,3071,SEAI1S8D_OUT,SEA40586,4
40678,1023,MH5171,MH540678,#N/A
40219,2815,SEAR1S8D_OUT,SEA40219,1
40219,2840,SEAC1S8D_OUT,SEA40219,1
40634,857,TFW004S8D_RAIN,TFW40634,0
40188,1931,SEAOUTFALL_6057,SEA40188,0
40219,2848,SEAC1S8D_OUT,SEA40219,1
40849,1373,GM34921,GM340849,#N/A
40858,373,SEAOUTFALL_6057,SEA40858,1
40858,374,SEAOUTFALL_6057,SEA40858,1
40075,1194,SEA19US8D_RAIN,SEA40075,0
40219,2856,SEAC1S8D_OUT,SEA40219,1
40185,1778,SEAC1S8D_OUT,SEA40185,0
40248,756,SEA19US8D_RAIN,SEA40248,0
40932,2522,SEAR1S8D_OUT,SEA40932,1
40555,2011,SEAOUTFALL_6057,SEA40555,1
40586,3085,SEAI1S8D_OUT,SEA40586,4
40185,1847,SEAR1S8D_OUT,SEA40185,0
40202,2374,SEAOUTFALL_6057,SEA40202,3
41236,1479,SEACOMS8D_OUT,SEA41236,1
40967,699,GM34921,GM340967,#N/A
40858,368,SEAR1S8D_OUT,SEA40858,1
40586,3041,SEAC1S8D_OUT,SEA40586,4
40803,279,SEAOUTFALL_6057,SEA40803,24
40185,1830,SEAR1S8D_OUT,SEA40185,0
40549,1755,SEAR1S8D_OUT,SEA40549,0
40186,1885,SEAC1S8D_OUT,SEA40186,1
40547,465,SNO_COM,SNO40547,1
40932,2528,SEAR1S8D_OUT,SEA40932,1
40555,2107,SEAR1S8D_OUT,SEA40555,1
40188,1932,SEAOUTFALL_6057,SEA40188,0
40937,2624,SEAI1S8D_OUT,SEA40937,2
41297,535,SEAHDRS8D_OUT,SEA41297,12
40224,3142,SEAR1S8D_OUT,SEA40224,0
40161,431,SEAI1S8D_OUT,SEA40161,5
40937,2632,SEAI1S8D_OUT,SEA40937,2
41252,1525,SEA19US8D_RAIN,SEA41252,0
40185,1813,SEAC1S8D_OUT,SEA40185,0
40932,2449,SEAC1S8D_OUT,SEA40932,1
40185,1798,SEAC1S8D_OUT,SEA40185,0
40932,2520,SEAR1S8D_OUT,SEA40932,1
40219,2792,SEAR1S8D_OUT,SEA40219,1
40202,2386,SEAOUTFALL_6057,SEA40202,3
40844,1329,SNO_LDR,SNO40844,3
40219,67,SEAOUTFALL_6057,SEA40219,1
40315,1032,MH5171,MH540315,#N/A
40202,2339,SEAI1S8D_OUT,SEA40202,3
40519,1521,SNO_LDR,SNO40519,3
41335,712,SEACOMS8D_OUT,SEA41335,0
40803,273,SEAC1S8D_OUT,SEA40803,24
40219,2805,SEAR1S8D_OUT,SEA40219,1
40224,645,TFW001S8D_OF235,TFW40224,0
40586,74,SEAI1S8D_OUT,SEA40586,4
40932,2493,SEAC1S8D_OUT,SEA40932,1
40555,2091,SEAR1S8D_OUT,SEA40555,1
40967,700,LDR010,LDR40967,#N/A
40202,39,SEAC1S8D_OUT,SEA40202,3
40122,1378,SNO_HDR,SNO40122,1
40185,1878,SEAR1S8D_OUT,SEA40185,0
40826,1248,SEARRRS8D_RAIN,SEA40826,0
40474,1288,SNO_COM,SNO40474,0
40586,3115,SEAI1S8D_OUT,SEA40586,4
40912,1629,SEAC1S8D_OUT,SEA40912,0
40549,1735,SEAR1S8D_OUT,SEA40549,0
40937,2705,SEAR1S8D_OUT,SEA40937,2
40248,116,SEAI1S8D_OUT,SEA40248,0
40636,868,TFW004S8D_RAIN,TFW40636,0
40549,1717,SEAR1S8D_OUT,SEA40549,0
40219,2913,SEAOUTFALL_6057,SEA40219,1
40161,1555,SNO_LDR,SNO40161,8
40122,1388,SEA19US8D_RAIN,SEA40122,0
40202,2417,SEAOUTFALL_6057,SEA40202,3
40959,666,SNO_HDR,SNO40959,0
41082,1099,SNO_LDR,SNO41082,2
40937,2581,SEAOUTFALL_6057,SEA40937,2
40563,519,SEACOMS8D_OUT,SEA40563,1
40188,1893,SEAOUTFALL_6057,SEA40188,0
40937,2703,SEAR1S8D_OUT,SEA40937,2
40122,1386,TFW003S8D_OF245,TFW40122,2
40185,1854,SEAR1S8D_OUT,SEA40185,0
40523,1529,TFW004S8D_RAIN,TFW40523,0
40606,721,GM34921,GM340606,#N/A
40555,2001,SEAI1S8D_OUT,SEA40555,1
40188,1907,SEAOUTFALL_6057,SEA40188,0
40202,2387,SEAOUTFALL_6057,SEA40202,3
40912,1663,SEAI1S8D_OUT,SEA40912,0
40849,1371,GM34921,GM340849,#N/A
40634,159,SEAC1S8D_OUT,SEA40634,0
40932,2439,SEAC1S8D_OUT,SEA40932,1
40937,2609,SEAOUTFALL_6057,SEA40937,2
40625,809,MH5171,MH540625,#N/A
40674,1011,MH5171,MH540674,#N/A
40219,2817,SEAC1S8D_OUT,SEA40219,1
40555,2124,SEAI1S8D_OUT,SEA40555,1
40459,295,SEAI1S8D_OUT,SEA40459,9
40202,2385,SEAOUTFALL_6057,SEA40202,3
40548,487,MH5171,MH540548,#N/A
40219,2858,SEAC1S8D_OUT,SEA40219,1
40937,2622,SEAI1S8D_OUT,SEA40937,2
40262,821,SEA19US8D_RAIN,SEA40262,1
40674,1015,LDR010,LDR40674,#N/A
40219,2845,SEAC1S8D_OUT,SEA40219,1
40555,2081,SEAR1S8D_OUT,SEA40555,1
40182,464,TFW003S8D_OF245,TFW40182,0
40549,1719,SEAR1S8D_OUT,SEA40549,0
40224,3156,SEAR1S8D_OUT,SEA40224,0
40963,96,SEAR1S8D_OUT,SEA40963,1
40912,1692,SEAI1S8D_OUT,SEA40912,0
40511,1504,TFW003S8D_OF245,TFW40511,0
40555,2057,SEAOUTFALL_6057,SEA40555,1
40563,2205,SEAI1S8D_OUT,SEA40563,1
40586,2976,SEAR1S8D_OUT,SEA40586,4
40555,1997,SEAI1S8D_OUT,SEA40555,1
40188,1903,SEAOUTFALL_6057,SEA40188,0
41297,533,SEA19US8D_RAIN,SEA41297,12
40563,2235,SEAI1S8D_OUT,SEA40563,1
40511,1502,TFW001S8D_OF235,TFW40511,0
40636,873,SNO_HDR,SNO40636,0
40563,2198,SEAI1S8D_OUT,SEA40563,1
40202,2316,SEAI1S8D_OUT,SEA40202,3
40577,600,SEA19US8D_RAIN,SEA40577,3
40563,2187,SEAI1S8D_OUT,SEA40563,1
40912,1702,SEAI1S8D_OUT,SEA40912,0
41065,1062,TFWFD1,TFW41065,2
40586,3045,SEAC1S8D_OUT,SEA40586,4
40549,1762,SEAR1S8D_OUT,SEA40549,0
40185,1831,SEAR1S8D_OUT,SEA40185,0
40912,1592,SEAC1S8D_OUT,SEA40912,0
40555,2070,SEAR1S8D_OUT,SEA40555,1
40219,2836,SEAC1S8D_OUT,SEA40219,1
39896,132,SEAOUTFALL_6057,SEA39896,0
40849,348,SEAR1S8D_OUT,SEA40849,1
40088,285,SEAOUTFALL_6057,SEA40088,0
40688,216,SEAOUTFALL_6057,SEA40688,2
40555,1961,SEAI1S8D_OUT,SEA40555,1
40108,317,SEAOUTFALL_6057,SEA40108,0
40586,3004,SEAC1S8D_OUT,SEA40586,4
40606,718,MH5171,MH540606,#N/A
40248,122,SEAR1S8D_OUT,SEA40248,0
40937,2627,SEAI1S8D_OUT,SEA40937,2
40586,2970,SEAR1S8D_OUT,SEA40586,4
40178,446,SEAR1S8D_OUT,SEA40178,0
40677,202,SEAR1S8D_OUT,SEA40677,1
40932,45,SEAC1S8D_OUT,SEA40932,1
40586,3015,SEAC1S8D_OUT,SEA40586,4
40912,1635,SEAC1S8D_OUT,SEA40912,0
40956,652,TFW001S8D_OF235,TFW40956,0
40912,1706,SEAI1S8D_OUT,SEA40912,0
40161,1554,SNO_LDR,SNO40161,8
40224,3157,SEAR1S8D_OUT,SEA40224,0
40555,1974,SEAI1S8D_OUT,SEA40555,1
41082,1107,SEAHDRS8D_OUT,SEA41082,2
40912,1677,SEAI1S8D_OUT,SEA40912,0
40586,3084,SEAI1S8D_OUT,SEA40586,4
40219,2755,SEAC1S8D_OUT,SEA40219,1
40108,1273,SNO_LDR,SNO40108,3
41277,459,SEARRRS8D_RAIN,SEA41277,3
40586,3081,SEAI1S8D_OUT,SEA40586,4
40844,1323,SNO_HDR,SNO40844,3
40849,346,SEAR1S8D_OUT,SEA40849,1
40459,1226,TFW001S8D_OF235,TFW40459,7
40202,2437,SEAOUTFALL_6057,SEA40202,3
40555,22,SEAOUTFALL_6057,SEA40555,1
41072,1076,SNO_COM,SNO41072,2
40912,1613,SEAC1S8D_OUT,SEA40912,0
40563,2183,SEAI1S8D_OUT,SEA40563,1
40219,2902,SEAOUTFALL_6057,SEA40219,1
40586,3063,SEAI1S8D_OUT,SEA40586,4
40185,1835,SEAR1S8D_OUT,SEA40185,0
40586,2973,SEAR1S8D_OUT,SEA40586,4
40202,540,SNO_LDR,SNO40202,2
40547,469,SNO_HDR,SNO40547,1
40586,3008,SEAC1S8D_OUT,SEA40586,4
40563,2189,SEAI1S8D_OUT,SEA40563,1
40202,2335,SEAI1S8D_OUT,SEA40202,3
40219,2874,SEAC1S8D_OUT,SEA40219,1
40185,489,TFW001S8D_OF235,TFW40185,1
40185,1861,SEAR1S8D_OUT,SEA40185,0
40102,1258,TFW001S8D_OF235,TFW40102,0
40606,717,GM34921,GM340606,#N/A
40202,2273,SEAC1S8D_OUT,SEA40202,3
40202,2406,SEAOUTFALL_6057,SEA40202,3
40555,2112,SEAR1S8D_OUT,SEA40555,1
40219,2869,SEAC1S8D_OUT,SEA40219,1
40202,34,SEAI1S8D_OUT,SEA40202,3
40075,1187,SNO_COM,SNO40075,1
40202,2349,SEAI1S8D_OUT,SEA40202,3
40202,2251,SEAI1S8D_OUT,SEA40202,3
40563,517,SEA19US8D_RAIN,SEA40563,1
40202,2314,SEAI1S8D_OUT,SEA40202,3
40549,1721,SEAR1S8D_OUT,SEA40549,0
40863,1437,SEACOMS8D_OUT,SEA40863,1
40912,1619,SEAC1S8D_OUT,SEA40912,0
40224,3171,SEAR1S8D_OUT,SEA40224,0
40586,2998,SEAR1S8D_OUT,SEA40586,4
40360,1112,GM34921,GM340360,#N/A
40185,1774,SEAC1S8D_OUT,SEA40185,0
40637,892,GM34921,GM340637,#N/A
40491,364,SEAI1S8D_OUT,SEA40491,0
41078,1086,GM34921,GM341078,#N/A
40188,1902,SEAOUTFALL_6057,SEA40188,0
40678,1024,LDR010,LDR40678,#N/A
40262,148,SEAR1S8D_OUT,SEA40262,1
40555,2109,SEAR1S8D_OUT,SEA40555,1
40937,2638,SEAI1S8D_OUT,SEA40937,2
40646,906,TFW001S8D_OF235,TFW40646,0
40659,989,SEACOMS8D_OUT,SEA40659,0
40416,1149,SNO_LDR,SNO40416,3
40202,2354,SEAI1S8D_OUT,SEA40202,3
40657,944,MH5171,MH540657,#N/A
40937,2716,SEAR1S8D_OUT,SEA40937,2
40035,1128,SNO_LDR,SNO40035,0
40868,1472,MH5171,MH540868,#N/A
40563,2134,SEAR1S8D_OUT,SEA40563,1
40325,1053,TFW004S8D_RAIN,TFW40325,0
40499,1460,GM34921,GM340499,#N/A
40555,2108,SEAR1S8D_OUT,SEA40555,1
40185,1815,SEAC1S8D_OUT,SEA40185,0
40188,1920,SEAOUTFALL_6057,SEA40188,0
40224,3159,SEAR1S8D_OUT,SEA40224,0
40270,866,SEAHDRS8D_OUT,SEA40270,1
40224,3172,SEAR1S8D_OUT,SEA40224,0
40563,2150,SEAR1S8D_OUT,SEA40563,1
40973,736,LDR010,LDR40973,#N/A
40142,1487,TFW003S8D_OF245,TFW40142,0
40932,2495,SEAR1S8D_OUT,SEA40932,1
40185,1846,SEAR1S8D_OUT,SEA40185,0
40185,1799,SEAC1S8D_OUT,SEA40185,0
40932,2505,SEAR1S8D_OUT,SEA40932,1
40586,3051,SEAC1S8D_OUT,SEA40586,4
40586,2957,SEAR1S8D_OUT,SEA40586,4
40960,670,SNO_LDR,SNO40960,0
40937,2639,SEAI1S8D_OUT,SEA40937,2
40937,2674,SEAI1S8D_OUT,SEA40937,2
40185,1783,SEAC1S8D_OUT,SEA40185,0
40085,1212,SNO_HDR,SNO40085,8
40937,2651,SEAI1S8D_OUT,SEA40937,2
40224,3155,SEAR1S8D_OUT,SEA40224,0
40185,1782,SEAC1S8D_OUT,SEA40185,0
40219,2917,SEAOUTFALL_6057,SEA40219,1
40130,1415,SNO_COM,SNO40130,0
40826,306,SEAOUTFALL_6057,SEA40826,0
40937,574,TFWFD1,TFW40937,0
40586,3024,SEAC1S8D_OUT,SEA40586,4
40202,2290,SEAC1S8D_OUT,SEA40202,3
40224,646,TFW003S8D_OF245,TFW40224,0
40932,2541,SEAR1S8D_OUT,SEA40932,1
40555,2039,SEAOUTFALL_6057,SEA40555,1
39892,125,SEAOUTFALL_6057,SEA39892,0
41082,227,SEAR1S8D_OUT,SEA41082,2
40826,1237,SEA19US8D_RAIN,SEA40826,0
40978,753,LDR010,LDR40978,#N/A
40555,2076,SEAR1S8D_OUT,SEA40555,1
40586,2972,SEAR1S8D_OUT,SEA40586,4
39869,101,SEAR1S8D_OUT,SEA39869,0
40563,2176,SEAR1S8D_OUT,SEA40563,1
40555,2075,SEAR1S8D_OUT,SEA40555,1
40294,971,SNO_HDR,SNO40294,0
40777,1147,TFWFD1,TFW40777,27
40481,1335,TFW004S8D_RAIN,TFW40481,1
40188,1912,SEAOUTFALL_6057,SEA40188,0
40678,1027,MH5171,MH540678,#N/A
40937,2736,SEAR1S8D_OUT,SEA40937,2
40202,2427,SEAOUTFALL_6057,SEA40202,3
40219,2868,SEAC1S8D_OUT,SEA40219,1
40586,2948,SEAR1S8D_OUT,SEA40586,4
40959,665,SNO_LDR,SNO40959,0
40555,2101,SEAR1S8D_OUT,SEA40555,1
41200,1260,SEARRRS8D_RAIN,SEA41200,1
40818,1220,SNO_COM,SNO40818,4
40939,587,SNO_HDR,SNO40939,0
40586,3010,SEAC1S8D_OUT,SEA40586,4
40674,1014,MH5171,MH540674,#N/A
40625,812,LDR010,LDR40625,#N/A
40912,1631,SEAC1S8D_OUT,SEA40912,0
41049,207,SEAR1S8D_OUT,SEA41049,14
40555,2022,SEAOUTFALL_6057,SEA40555,1
40219,2878,SEAOUTFALL_6057,SEA40219,1
40903,435,SEAR1S8D_OUT,SEA40903,0
40102,1259,TFW004S8D_RAIN,TFW40102,0
40185,1802,SEAC1S8D_OUT,SEA40185,0
40956,84,SEAI1S8D_OUT,SEA40956,0
40317,1037,TFW004S8D_RAIN,TFW40317,0
40586,2981,SEAR1S8D_OUT,SEA40586,4
40185,1794,SEAC1S8D_OUT,SEA40185,0
40614,769,SNO_LDR,SNO40614,0
40555,1950,SEAI1S8D_OUT,SEA40555,1
40932,2508,SEAR1S8D_OUT,SEA40932,1
40932,2500,SEAR1S8D_OUT,SEA40932,1
40563,2162,SEAR1S8D_OUT,SEA40563,1
40202,2285,SEAC1S8D_OUT,SEA40202,3
40736,1115,SEALDRS8D_OUT,SEA40736,3
40523,1537,SNO_COM,SNO40523,0
40224,3124,SEAR1S8D_OUT,SEA40224,0
